,title,teacher,time,code,credit,Q,content
42,実在流体力学 A,青木 尊之,月5-8(W241)  ,MEC.F211,2,4,"本講義では、粘性係数、ナビエ・ストークス方程式、レイノルズ数およびレイノルズの相似則等の基礎的事項から、平行流、平行平板間のクエット・ポアズイユ流、ハーゲン・ポアズイユ流、レイリー問題といった基本的な流れの解法、さらには、ストークス近似、オセーン近似、境界層、圧縮性流などの応用的な項目に関する内容まで網羅した講義を行います。講義と演習を密接に組み合わせて，機械工学分野における実際の流体機器の設計において重要となる粘性流体に関する基礎概念を習得します。

流体力学は機械工学における諸問題を扱う上で根幹となる重要な専門分野であり、この講義では、基礎流体力学で学ぶ非粘性流体に続き、粘性流体に関する基礎知識とそれを利活用できる能力を身に付けます。講義では、学習理解を深めるための演習時間を適宜設けます。"
43,機械材料工学 B,吉野 雅彦,月5-8(W241)  ,MEC.G211,2,3,"【概要】本講義では各種材料のミクロからマクロまでの幅広い性質について取り扱います。具体的には，材料の基本特性の評価法、材料強度、物質の結晶構造，転位、平衡状態図さらに実用的な鉄鋼材料、非鉄材料、非金属材料などについて講義する。
【ねらい】機械や構造物を製作する上で必要な材料の基本的性質について理解することは必須です。すなわち，各材料の持つ特性についての知識に基づいた材料の選択が機械を設計する上で必要となります。このような機械工学技術者に不可欠な材料に関する基礎的素養を習得させるのがねらいです。学ぶべき内容は
材料の基本特性
金属材料の基礎
鉄鋼材料
非鉄金属材料
非金属材料
機能性材料
機械材料の選び方"
44,メカトロニクス工学（機械）,鈴森 康一,木5-8(S011)  ,MEC.I331,2,3,機械，電気，ソフトウェアの融合技術であるメカトロニクスについて学習する．メカトロニクスの概要と実例を述べたのち，メカトロニクスの要素技術として，メカニズム(機械要素，機構)，機能要素(アクチュエータ，センサ)，電子回路，マイクロコンピュータ，ソフトウェアについて説明する．これらを踏まえて，ロボット等を例に取り上げ，メカトロニクス設計と応用をケーススタディとして学ぶ．
45,自動車技術,花村 克悟,金5-8(I121)  ,MEC.N331,2,3,現在進められている自動車開発における最新技術全般を，その開発に携わった研究者により機械工学の基礎を踏まえながら解説いただく．自動車を取り巻く課題に始まり、駆動部であるエンジンや自動変速機構，さらにシャーシ技術による操舵安定性，空力特性や発生する熱のマネジメント，そしてデザインに至るまで，1つの完成品である自動車の開発について，さまざまな領域における課題を踏まえながら解説するものです．
46,ロボット技術,武田 行生,木5-8(I121)  ,MEC.I334,2,1,"ロボット技術の変遷，ロボットのハードウェア，ソフトウェア技術に関する現状，医療・福祉分野への応用をはじめとするロボットの応用事例等について，これらを専門とする研究者を主たる講師として講義を行う．
これにより，ロボット技術発展の歴史，各種ロボットのハードウェアおよびソフトウェアに関する基礎および先端技術，さらに社会実装の課題などに関する知識が身に着くことになる．"
47,原子核工学概論,小栗 慶之,月1-2(S221)  木1-2(S221)  ,TSE.A311,2,4,"【概要】本講義では，原子核工学の分野として核分裂炉システム及び核融合炉開発を取り上げます。初めに，原子核の基礎的性質，核崩壊と放射線，核反応の物理について解説します。続いて，原子炉（核分裂炉）の臨界，動特性，燃焼特性を解説するとともに原子炉熱流動，原子炉システムの安全性及び核燃料サイクルについて解説します。そして，プラズマの基礎，核融合反応と核融合プラズマを解説するとともに核融合開発の歴史と現状について解説します。
【ねらい】本講義では，原子核工学の基礎となる物理，核分裂炉の仕組みと安全性，原子炉熱流動，及び核燃料サイクルの概要，並びに，核融合プラズマの基礎及び核融合開発の現状を理解し身につけます。"
48,加工学概論,平田 敦,金1-4(W531)  ,MEC.G311,2,3,"本講義は，学部学生を対象として，機械技術者として必要な加工プロセスの基礎を習得することをねらいとして，加工法の種類と特徴を教授する。まず機械部品，電気電子部品をはじめとする工業製品の製作に用いる基本的な各種加工法について概観し，製品の製作工程について述べる。特に，部品の加工法を取り上げ，材料特性と関連して加工原理を理解したうえで，加工プロセスの基礎と応用を会得する。これらの知識は製品の機能，構造の設計を行うに必須である。さらに各加工法の得失を考慮しながら，製品に応じた適切な加工法の選択方法を学ぶ。
1．変形加工（鋳造，塑性加工など）
2．除去加工（切削，研削など）
3．付加加工（溶接など）
4．材料（微視的構造，機械的特性など）"
49,機械設計製図,大河 誠司,"金3-8(石川台3号館301,302,303,310号室,石川台6号館315号室)  ",MEC.H331,2,4,"ベンディングマシン（板金の曲げ加工機）の機構部の設計から加工までの一貫した流れを習得し，基本的な曲げ加工の設計法および機械製図の修得を通し加工知識を盛り込んだ設計，機械加工法を考慮した設計図の作成を身に付けることを目的として次の点を中心に演習を行う．
１．ベンディングマシン（板金の曲げ加工機）の可動部の設計
２．箱状のカバーを板金曲げ加工で製作するための展開図の設計計算・製図
３．上記箱状のカバーの組立図，部品図の作成"
50,航空・宇宙技術,井上 剛良,金5-8(I121)  ,MEC.M334,2,4,本講義では，航空機に用いられている技術について学習します．具体的には，ノズル流れの理論，ジェットエンジンのサイクル性能，圧縮機などの要素技術，航空機の空気力学、航空機力学と姿勢制御，航空機の構造や設計法について学びます．これにより，現在の航空宇宙技術の基礎を理解，修得し．さらに，そこにある課題とそれを解決するための考え方を養います．
51,生体工学基礎,八木 透,火1-2(I121)  木1-2(I121)  ,MEC.L331,2,2,"生物の形や動き，それを制御するしくみを機械工学的観点から解説する。
また生物の感覚器官や脳機能の構造や特性についても紹介する。"
52,有限要素法,吉野 雅彦,"木5-8(石川台3号館　301,302,303,310号室)  ",MEC.K332,2,2,"【概要】有限要素法の基礎理論を講義し、パソコンを用いた有限要素解析の実習を行う。
【ねらい】実際的な有限要素法を利用する能力の習得を目指す。
以下の内容を講義する。
弾塑性有限要素法の理論的基礎
仮想仕事の原理による定式化
三角形要素、四角形要素
剛性方程式
二次元有限要素法"
53,応用流体力学,吉田 和弘,木1-2(I311)  ,MEC.F331,1,3,"本講義では，標準的な流体力学で学ぶ外力が作用しない単相のニュートン流体の流れとしては取り扱うことができない流体の流れとして，機能性流体，混相流，電磁流体の考え方を理解し，様々な工学分野で応用することができるための基礎を提供する。
一般に流体の流れは，電場や磁場により流体の挙動が変化する機能性流体，電磁流体，液相と気相など相の異なる流体が存在する混相流のように，標準的な流体力学で学ぶ単相のニュートン流体の外力が作用しない流れとして取り扱えるものばかりではなく，様々な工学分野の問題を取り扱えるようになるためには，知識を広げておく必要がある。本講義では，様々な流体現象の中から，機能性流体（非ニュートン流体を含む），混相流，電磁流体を取り上げ，その取り扱いの基礎から応用までの知識を提供する。"
54,ロボットの力学と制御,岡田 昌史,木5-8(S222)  ,MEC.I333,2,4,本授業では現代制御理論とロボットの制御に関して講義する．まず，線形システムを対象とし，状態空間での表現を用いて，その表し方，解析，制御系の設計について述べる．次に，非線形システムとしてロボットを対象とし，その制御法について述べる．
55,計測工学基礎,吉岡 勇人,金5-6(石川台3号館201A号室)  ,MEC.I311,1,1,計測工学における基礎的内容を十分に理解するため，各種センサの紹介，計測システムの構成，データ処理について実習を交えた講義を行う．さらに得られる計測結果に対する解析や信頼性の確保の考え方の基礎について講義し，複数のセンサからなる機械システムによる計測についても概説する．
56,応用数値計算法,花村 克悟,月1-2(I121)  ,MEC.B332,1,3,"行列の固有値解析や常微分方程式の数値解法は機械工学のみならず，広汎な理工学分野において利用されている．解析技術の発展により，これらの技法は汎用シミュレーターを用いることで利用することも可能であるが，新たに正しい解析結果を得るため，あるいは取り扱う現象に関する理解を深めるには，動作原理を学ぶ必要がある．
本講義は「基礎数値計算法」で取得した知識およびプログラミング技術を応用・発展させ，上述の問題に潜む，数理について解説する．"
57,トライボロジーの基礎,田中 智久,火1-4(I311)  ,MEC.J333,2,3,"機械工学において重要な役割を果たしている、「トライボロジー」に関する基礎的概念と、その工学への応用例について学ぶ。
この講義を通して複雑なトライボロジーの基本的原理を理解し、可動部を持つ機器に生じ得るトライボロジーに関する問題とその一般的な解決法を理解することが本講義のねらいである．"
58,機械システム開発プロジェクト,各教員,"火5-8(石川台3号館201A,201B,201C,301,302,303号室)  水1-4(石川台3号館201A,201B,201C,301,302,303号室)  ",MEC.Q311,4,3,"本講義では関連する講義である「機械システムデザイン」で企画した機械システムを対象に以下の内容を実施する．

・グループワークに参加し，機能を実現するアイデアについて議論しレポートにまとめる．
・グループワークに参加し，複数人でプロジェクトを立案するとともに分担して遂行する．
・グループワークに参加し，機能を実現する機械システムの詳細設計および製作を行う．
・グループワークに参加し，製作物を他者に説明するためのプレゼンテーション資料をまとめる．"
59,メカトロニクス演習,金 俊完,月5-10(石川台3号館201C号室)  ,MEC.I332,2,4,"本演習では，簡単な3自由度ロボットアームを用いて，メカトロニクス機器の構成要素を理解し，座学で学んだ制御理論をコンピュータ制御で実践する演習・実験である．ロボットアームを構成するメカトロニクス要素（減速器，アクチュエータ，センサなど）の基礎知識を提供する．制御のために必要なデータの取得方法と，モータの駆動方法を提供する．逆運動学，コンプライアンス制御といった産業用マニピュレータに求められている制御方法を提供し，これらを用いて3自由度ロボットアームの動作と制御を実践させる．
メカトロニクスは機械工学と電気工学を融合させた学問であり，これにより機械要素だけでは実現できない機能を電子回路，センサ，アクチュエータ，コンピュータなどと組み合わせることで可能とする．構成要素を一見して確認できるシンプルな3自由度ロボットアームを用いることで，メカトロニクス機器の構成が理解できる．学生自ら作成した位置制御プログラムを用いてロボットアームを動作させることで，メカトロニクス機器の機能と動作が理解できる．座学では直観的に理解しにくいPID制御の各役割はプログラム中のパラメータを変化させることで体感できる．
「メカトロニクス工学」や「モデリングと制御」の講義で学んだことに関して，次の点を中心に演習と実験を実施し，レポートにまとめる．
１．ロボットの構成要素
２．制御の基礎
３．制御系の設計
４．逆運動学
５．障害物回避制御
６．コンプライアンス制御
７．摩擦補償，重力補償"
60,機械システムデザイン,八木 透,"火1-4(石川台3号館201A,201B,201C号室 石川台3号館303号室)  金1-4(石川台3号館201A,201B,201C号室 石川台3号館303号室)  ",MEC.Q301,2,1,"本講義では，ユーザニーズに応える機械システムをグループで企画・設計・製作する体験を通して創造的思考法を修得する．新しく、且つ独創的な機械システムについて10人程度の学生からなるグループを構成してユーザが本質的に「使える機械」を設計・開発する．このためにユーザや使用される現場および実際の状況についての調査等を行い，アイデアを出す．次にアイデアを形にしたプロトタイプを製作し，このプロトタイプに対する他者の評価を通じて設計の問題点を抽出し，改良するプロセスを繰り返すことで，完成度の高い設計案を作成する．これらの企画・設計段階においてグループを構成する各人の創出するアイデアをグループ内で繰り返しブレインストーミングすることによって機械システムを高度化していく．この体験を通じて具体的プロジェクトを主導的に立案・遂行する能力を養成する。この結果，本講義以前の設計・製図・加工を中心とする機械設計に関する基礎能力に加え, 求める機能を実現させる為の創造的思考法を実践的に修得する. 更に本プロトタイプを用いたプレゼンテーションを通じて，評価者に正確に内容を伝える技術を習得する．"
61,信号処理基礎,大河 誠司,水3-4(S011)  ,MEC.B331,1,1,"信号処理の基礎として，次の点を中心に講義し，演習を実施し，レポートをまとめる．
１．フーリエ級数，フーリエ変換
２．機械工学、電気工学、情報通信工学などに出てくる偏微分方程式の解法に応用するための基礎
３．サンプリング定理，離散フーリエ変換，周波数フィルタ
４．パーシバルの等式"
62,宇宙開発工学,岩田 隆敬,月5-8(I121)  ,MEC.M333,2,4,"宇宙開発、宇宙利用、宇宙探査を進めるためには、人工衛星、探査機、宇宙ステーション等の宇宙機やロケット、地上設備、通信ネットワークを含めた巨大なシステムが必要となる。本講義では、
１）宇宙システムの概要
２）宇宙システムを開発・運用するのに必要な要素技術やシステム技術
３）システムズエンジニアリング、プロジェクトマネジメント、安全・ミッション保証等のエンジニアリングマネジメント手法
について講述する。
制御工学、構造力学、電気工学、通信工学に関する内容を含む。"
63,振動解析学 B,大熊 政明,木1-4(I123)  ,MEC.D311,2,1,"【講義の概要】
集中質点による多自由度系の振動解析からはじめ，弦・梁・膜などの連続体の振動挙動および非線形振動系の振動挙動の解析について講義する．

【ねらい】
現実の振動系は通常は多自由度系ですが,振動解析を行い低振動化などに適用するためには適切なモデルを選択する必要があります.本講義では多自由度系の代表的 なモデルにおける振動挙動について学習するとともに,非線形振動の解析手法およびその振動挙動の特徴を把握することを目的とします."
64,モデリングと制御 B,小俣 透,月5-8(I311)  ,MEC.I312,2,2,本講義では，電動モータ系，電気回路，振動系等のモデリングと，線形制御理論の基礎として，線形時不変システムの解析手法，フィードバック制御系の設計法を講義する．具体的には，動的モデルの伝達関数導出や，伝達関数を用いた系の特性解析手法について説明し，さらに，系の安定性の定義，安定判別法などをベースとしたフィードバック制御系の設計法について説明する．
65,機械系先端実験,各 教員,"金5-8(石川台1号館253号室,各研究室実験室)  ",MEC.P332,1,2,"本講義を履修することによって座学からだけでは学ぶことができない次のような能力を修得・体得することが到達目標である．8～11の項目についてはやや応用的な事項まで理解することを目標とする．
1. 塑性加工おける材料の変形挙動を理解している
2. ロボットアーム機構の運動学解析手法および運動制御系について理解している．
3. 非線形振動および自励振動の特徴を理解している．
4. 燃焼に関する熱力学特性，化学反応特性及び流体力学特性を理解している．
5. 自然対流の特徴を理解している．
6. 実在流体の流れの中における翼の揚力と抗力の発生原理を理解している．
7. 超音波を用いた材料の機械特性の推定法，および欠陥検出法を理解している．
8. 実験レポートの作成方法を理解している．
9. 課題設定力，実践力および解決力を理解している．
10. データ収集・処理方法を理解している．
11. 考察の仕方を理解している．
この科目は，学修目標の
6. 機械工学の発展的専門学力
7. 専門知識を活用して新たな課題解決と創造的提案を行う能力
の修得に対応する．"
66,振動解析学 A,大熊 政明,木1-4(I121)  ,MEC.D311,2,1,"【講義の概要】
集中質点による多自由度系の振動解析からはじめ，弦・梁・膜などの連続体の振動挙動および非線形振動系の振動挙動の解析について講義する．

【ねらい】
現実の振動系は通常は多自由度系ですが,振動解析を行い低振動化などに適用するためには適切なモデルを選択する必要があります.本講義では多自由度系の代表的 なモデルにおける振動挙動について学習するとともに,非線形振動の解析手法およびその振動挙動の特徴を把握することを目的とします."
67,モデリングと制御 A,山浦 弘,月5-8(W611)  ,MEC.I312,2,2,"機械工学（機械系）の分野に進んだ学生を対象としてモデリングと制御に関する科目として以下の点を中心に講義し，演習も行う．
1．電動モータ系，電気回路，振動系等のモデリング（伝達関数の導出，ブロック線図の利用法など）
2．線形時不変システムの解析手法（特性解析，安定性解析など）
3．フィードバック制御系の設計法（PID制御，動的補償器など）"
68,学士特定課題プロジェクト5c（機械系）,各 教員,  ,MEC.Z395,5,3,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的
とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
69,エネルギー変換工学,平井 秀一郎,火1-4(S622)  ,MEC.E331,2,4,"本講義では、物質のもつ化学エネルギーとその変換，燃焼の熱力学，先端的な燃料電池や二次電池，エンジンサイクル，コージェネレーション，CO2隔離技術などを取り上げることで，現代エネルギー変換工学の広範な知識を提供する。
現代の機械工学者はさまざまな形態のエネルギー変換を取り扱う必要があり、またその高度化のために変換の原理原則に立ち返った取り組みが必要とされる。本講義では、様々な事例の背後にある基本原理を理解し、その応用と課題を学ぶことで、当該技術の高度化に資する基盤学理を身につけ、人類共通の課題である地球環境とエネルギー問題に取り組むための素養を修得することを目指す。"
70,機械系発展実験,各 教員,"木5-8(石川台1号館253号室,各研究室実験室)  ",MEC.P331,1,1,"本授業科目では，機械工学の中でも発展的課題について体験学習することによって，以下に示す内容を体験学習する．
1. 熱処理を施した鋼の組織と機械的特性
2. 回転軸の危険速度と釣り合わせ
3. 蒸気圧縮式冷凍機の実験
4. カルマン渦列の可視化と速度計測
5. エネルギ解放率と破壊靭性
6. アクティブ振動制御
7. 燃料電池の原理と特性評価
8. 実験レポートの作成方法
9. 課題設定力，実践力および解決力
10. データ収集・処理方法およびまとめ方
11. 考察の仕方"
71,学士特定課題研究（機械系）,各教員,  ,MEC.Z389,6,1,"受講生は，指導教員と協議して決定した研究課題について研究を行う。文献等の調査を通じて研究課題に関連する事項の理解を深め，研究活動や討論を通じて問題を明確化し，解決を図る。研究を遂行するこれらの過程において，それまで学修してきた様々な科目によって身に付けた専門知識及び周辺の基礎知識等を活用して問題を解決する手法を身に付ける。また，データの取得，取得したデータの解析とその考察といった研究手法に習熟するとともに，複眼的な考察を行う力を養成する．さらに，得られた成果をまとめて学士論文を作成し，発表・討論を行う。
学士特定課題研究は，学生個々が特定の研究課題に取り組む研究室教育の中核をなすものであり，体系的カリキュラムに基づくコースワークと相互補完の関係にある．研究を遂行することにより，専門力の向上とともに，新たな課題・問題を発見・設定する力，未解決の問題を解決に導く力など，社会で必要とされる総合的な開発力を身につけることが期待される。"
72,スペクトル解析,大熊 政明,月1-2(I121)  ,MEC.B333,1,2,"振動現象を代表として各種の動的現象のデータ解析としてスペクトル解析は有用である．本講義では，機械工学における構造動力学の事例を中心的に取り上げて具体的な演習を含めてスペクトル解析の基礎から応用までを習得する．
本講義のねらいは，フーリエ変換（実用的にはＦＦＴ）の理論を物理学的および数学的に十分に理解した上で実際のデータの分析に使いこなせるように教授することである．"
73,研究プロジェクト（機械系）,各 教員,月5-8(各研究室)  ,MEC.Z381,2,3,複数の研究室で研究体験を行う．研究に触れる機会を持つことにより，高度専門教育である大学院教育に具体的な興味・関心を持つきっかけとなることを目的とする．また，研究倫理について理解する．
74,CAE概論,大熊 政明,金5-6(I121)  ,MEC.K331,1,1,"Computer Aided Engineering (CAE)，すなわち設計支援のためにコンピュータによる数値シミュレーション技術およびその可視化技術，さらには最適設計のための解析技術は現在の産業界で重要な働きをしている．この基礎から現状の実用状況について機械工学の複数分野の視点で概論する．
本講義のねらいは，機械工学分野からの各講師によってＣＡＥの現状について広く概論することと，その中で本質的に重要な学術ポイントの専門理論を解説することである．"
75,伝熱学 A,岡村 哲至,月1-4(I121)  ,MEC.E311,2,1,伝熱学は機械工学における重要な専門分野です。環境・エネルギー問題において、廃熱をいかに有効利用するかは、持続可能社会において最も重要な課題の一つと言えます。伝熱学ではこのための基礎を学ぶことができます。講義では、熱伝導、対流、ふく射、相変化などの伝熱現象やそれに関わる物理法則を学びます。
76,宇宙システムプロジェクト,松永 三郎,集中講義等   ,MEC.M332,3,1,人工衛星モデルの設計・製作・打上実験を通じて，厳しい制約条件，激烈な打上環境に耐え，ミニマムサクセスを必ず達成するためのシステム工学およびプロジェクトマネジメントの方法を習得することを目標とする。また，外部審査を含む各種審査を通過し，米国で行われる国際ロケット打ち上げ実験においてミッションを成功させることを最終目標とする．衛星開発の基礎知識を学ぶと共に，チーム内で効率的な共同・分担作業を通じてリーダーシップやフォロワーシップというチームワーク力の向上を図る。また、ロケット打上グループや他の参加者との調整・交渉、現地報告会等を通じて、多様な文化背景を持つ人々に対して、自分の考えを伝える能力、相手を理解する能力、共同で物事を実施する能力を養う。
77,マイクロ・ナノ加工基礎,金 俊完,月1-2(I321)  ,MEC.J331,1,1,本講義では，MEMS/NEMSデバイスの応用例や作製のための様々な微細加工技術を学ぶ．特に，フォトリソグラフィーを基盤とするパターニング技術，堆積技術，エッチング技術(ウェット&ドライ)，ナノ加工技術，次世代加工技術などの様々な微細加工技術を，その背景にある物理と共に習得する．
78,研究プロジェクト（機械系）,各 教員,月5-8(各研究室)  ,MEC.Z381,2,1,複数の研究室で研究体験を行う．研究に触れる機会を持つことにより，高度専門教育である大学院教育に具体的な興味・関心を持つきっかけとなることを目的とする．また，研究倫理について理解する．
79,宇宙システム工学,古谷 寛,火5-8(I311)  ,MEC.M331,2,2,宇宙機の軌道・姿勢制御、および構造動力学の問題を講述する。
80,材料強度学（機械）,佐藤 千明,金1-4(I121)  ,MEC.C331,2,2,この授業では，これまでの「材料力学」や「弾塑性力学」で習得した力学の基礎に基づき，はじめに，さまざまな破損事例とその破損の法則について紹介し，線形破壊力学と弾塑性破壊力学の基礎を講義する．つぎに，材料で見られるいくつかの破壊の形態に触れ，破壊じん性と疲労強度，疲労き裂の発生機構と進展機構について講義する．最後に，これらの知識を実際の設計，保守・管理に活かすための強度設計の基礎と手法について講義する． 　機械・構造物を設計し，それを保守・管理していくには，構造材料に力が加わったときに生じる変形や破壊についての理解が必要である．この授業では，材料の破損と破壊の力学，破壊じん性と疲労強度，疲労き裂の発生機構と進展機構の基礎について，材料の微視的な現象を理解するだけでなく，巨視的な材料の変形・破壊が微視的な現象とどのように関係しているかという視点で学習させる．また，これらの知識を実際の機械・構造物の設計，保守・管理に活かす強度設計手法について考察する方法を習得させる．
81,精密機械基礎学 A,進士 忠彦,火5-6(I121)  ,MEC.J311,1,1,精密機械の概念，歴史，全体像を概観し，現代の超精密機構やマイクロ・ナノマシンの実例を紹介する．次に，その構成要素である送り機構，案内要素，アクチュエータ，センサ，制御に関して講述する．それらの要素を組み合わせ，実際の精密機械を設計するための，基本的な原理を説明する．最後に，実際の精密機械を加工，組み立て，評価する手法に関して，概説する．
82,精密機械基礎学 B,進士 忠彦,火5-6(I123)  ,MEC.J311,1,1,精密機械の概念，歴史，全体像を概観し，現代の超精密機構やマイクロ・ナノマシンの実例を紹介する．次に，その構成要素である送り機構，案内要素，アクチュエータ，センサ，制御に関して講述する．それらの要素を組み合わせ，実際の精密機械を設計するための，基本的な原理を説明する．最後に，実際の精密機械を加工，組み立て，評価する手法に関して，概説する．
83,伝熱学 B,岡村 哲至,月1-4(I123)  ,MEC.E311,2,1,伝熱学は機械工学における重要な専門分野です。環境・エネルギー問題において、廃熱をいかに有効利用するかは、持続可能社会において最も重要な課題の一つと言えます。伝熱学ではこのための基礎を学ぶことができます。講義では、熱伝導、対流、ふく射、相変化などの伝熱現象やそれに関わる物理法則を学びます。
84,学士特定課題プロジェクト1c（機械系）,各 教員,  ,MEC.Z391,1,3,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的
とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
85,学士特定課題プロジェクト2c（機械系）,各 教員,  ,MEC.Z392,2,3,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
86,学士特定課題プロジェクト3c（機械系）,各 教員,  ,MEC.Z393,3,3,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的
とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
87,精密測定学,初澤 毅,月3-4(I321)  ,MEC.J332,1,1,"精密測定技術は、工業製品を測定・評価しその品質を管理するうえで不可欠であるだけでなく、研究開発の現場においても重要な役割を担っている。
本講義では、精密測定に必要な基礎知識とともに各測定方法の原理、特徴を習得させることを目的とする。SI単位系や測定基準などについて説明し、幾何形状測定だけでなく圧力・温度・電気計測必要な各種の手法について習得させる。また、計測データの解析や信号処理法についても学習する。"
88,学士特定課題プロジェクト4c（機械系）,各 教員,  ,MEC.Z394,4,3,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的
とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
89,学士特定課題プロジェクト6c（機械系）,各 教員,  ,MEC.Z396,6,3,"「学士特定課題研究」を終えた後に履修する授業科目で，次のいずれか又はその他同等の方法で研究を深化させ，学修の幅を広げることを目的とします。
1) 学士特定課題研究をさらに深める。
2) 修士論文研究の準備を開始する。
3) 学士特定課題研究を実施した研究室とは別の研究室で新たな学士特定課題研究を行う。"
90,学士特定課題研究（機械系）,各教員,  ,MEC.Z389,6,3,"受講生は，指導教員と協議して決定した研究課題について研究を行う。文献等の調査を通じて研究課題に関連する事項の理解を深め，研究活動や討論を通じて問題を明確化し，解決を図る。研究を遂行するこれらの過程において，それまで学修してきた様々な科目によって身に付けた専門知識及び周辺の基礎知識等を活用して問題を解決する手法を身に付ける。また，データの取得，取得したデータの解析とその考察といった研究手法に習熟するとともに，複眼的な考察を行う力を養成する．さらに，得られた成果をまとめて学士論文を作成し，発表・討論を行う。
学士特定課題研究は，学生個々が特定の研究課題に取り組む研究室教育の中核をなすものであり，体系的カリキュラムに基づくコースワークと相互補完の関係にある．研究を遂行することにより，専門力の向上とともに，新たな課題・問題を発見・設定する力，未解決の問題を解決に導く力など，社会で必要とされる総合的な開発力を身につけることが期待される。"
91,機械工作実習と安全,赤坂 大樹,"火1-4(石川台3号館, 201A,201B,201C)  ",MEC.Q310,1,2,研究活動や創造性教育において世の中に無い，もしくは現存しない機器を具現化するための加工技術の習得とこれら加工における誤操作や不適切な冶具の使用防止を含めた安全に関する知識を習得させると共に緊急時の対処法についても習得する。
92,学士特定課題プロジェクト1c（機械系）,各 教員,  ,MEC.Z391,1,4,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的
とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
93,学士特定課題プロジェクト3c（機械系）,各 教員,  ,MEC.Z393,3,4,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的
とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
94,学士特定課題プロジェクト2c（機械系）,各 教員,  ,MEC.Z392,2,4,"「学⼠特定課題研究」を終えた後に履修する授業科目で，次のいずれか⼜はその他同等の⽅法で研究を深化させ，学修の幅を広げることを目的とします。
1) 学⼠特定課題研究をさらに深める。
2) 修⼠論⽂研究の準備を開始する。
3) 学⼠特定課題研究を実施した研究室とは別の研究室で新たな学⼠特定課題研究を⾏う。"
